%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=207905, 2018/01/17 21:12:10.06)
1,12,5.524815e-01,1.054229e+00,5.016839097799326000e+00,5.365700416379536500e+00,6.003806863977403400e+00,6.728363716876309300e+00
2,23,4.982120e-01,1.060848e+00,5.016839097799326000e+00,5.169371389018445800e+00,5.657044756791807800e+00,6.361655681313142600e+00
3,34,4.568392e-01,1.070482e+00,5.016839097799326000e+00,5.117079363366448400e+00,5.452347247313008800e+00,5.880171773336369000e+00
4,45,4.229230e-01,1.094674e+00,5.016839097799326000e+00,5.183988635332553900e+00,5.475448019899011400e+00,5.673217481586204000e+00
5,56,3.816044e-01,1.097708e+00,5.000325957817572900e+00,5.000325957817572900e+00,5.369427765483106200e+00,5.874906224376529100e+00
6,67,3.519131e-01,1.119154e+00,5.000325957817572900e+00,5.256894866033349900e+00,5.464746770254347300e+00,5.879957860811131800e+00
7,78,3.171541e-01,1.128330e+00,5.000325957817572900e+00,5.081847032021645600e+00,5.348217127268431300e+00,5.871563637071668400e+00
8,89,2.908515e-01,1.131344e+00,5.000325957817572900e+00,5.060127327769002600e+00,5.333457581925770800e+00,5.508698776845934100e+00
9,100,2.718476e-01,1.141311e+00,5.000325957817572900e+00,5.076938501151248700e+00,5.209464582707813200e+00,5.538372244184710500e+00
10,111,2.578988e-01,1.154591e+00,5.000325957817572900e+00,5.076901964316810700e+00,5.301727197295303300e+00,5.567886519326561000e+00
11,122,2.443721e-01,1.161717e+00,5.000325957817572900e+00,5.005374895149544500e+00,5.340737163926298200e+00,5.446750656737070700e+00
12,133,2.285793e-01,1.169955e+00,5.000325957817572900e+00,5.040329308143922700e+00,5.122964901567074800e+00,5.531841462175545800e+00
13,144,2.205261e-01,1.178703e+00,5.000325957817572900e+00,5.052142464276880900e+00,5.182503796655225000e+00,5.389416186683292600e+00
14,155,2.174457e-01,1.221125e+00,5.000325957817572900e+00,5.049565256559462900e+00,5.197094098050461000e+00,5.398297992652866000e+00
15,166,2.097204e-01,1.239357e+00,5.000325957817572900e+00,5.056128937482056600e+00,5.274603871004074100e+00,5.480804895332282100e+00
16,177,1.912941e-01,1.254528e+00,5.000325957817572900e+00,5.023465300337265100e+00,5.149095452828228200e+00,5.425364566943994900e+00
17,188,1.796204e-01,1.258442e+00,5.000325957817572900e+00,5.014060353400088500e+00,5.056653638456980500e+00,5.294819289990415200e+00
18,199,1.739362e-01,1.258367e+00,5.000325957817572900e+00,5.044141324965806000e+00,5.092198067991924800e+00,5.244008674113549000e+00
19,210,1.645155e-01,1.266760e+00,4.982783668755668100e+00,4.982783668755668100e+00,5.047332706730820500e+00,5.393393062143207600e+00
20,221,1.551470e-01,1.271625e+00,4.982783668755668100e+00,5.013193619653934600e+00,5.142687842348178300e+00,5.296305960215918600e+00
21,232,1.386409e-01,1.278410e+00,4.982783668755668100e+00,5.019589003917426200e+00,5.060622393108250300e+00,5.285692193928160700e+00
22,243,1.308213e-01,1.271228e+00,4.982783668755668100e+00,5.011036334743861800e+00,5.077903366416230700e+00,5.284799249992265600e+00
23,254,1.241645e-01,1.261052e+00,4.982783668755668100e+00,4.989594471339355400e+00,5.057995897633861500e+00,5.285940019389720100e+00
24,265,1.154588e-01,1.272139e+00,4.982783668755668100e+00,4.994302785142104500e+00,5.036589294615409600e+00,5.321185116424960200e+00
25,276,1.110695e-01,1.281216e+00,4.982783668755668100e+00,5.002502235528864600e+00,5.030202175029860000e+00,5.189161264090380100e+00
26,287,1.039477e-01,1.292560e+00,4.982783668755668100e+00,4.987808195728018900e+00,5.027914629876882200e+00,5.130731148846035900e+00
27,298,9.962161e-02,1.292627e+00,4.982783668755668100e+00,4.984140958582169200e+00,5.048059344438735600e+00,5.177633439748383600e+00
28,309,9.347423e-02,1.297254e+00,4.972196372373716100e+00,4.972196372373716100e+00,5.010385665519542000e+00,5.087891908023789400e+00
